label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,f,y,g,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
e,k,s,b,t,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,y,y,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d
p,x,y,g,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
p,x,f,y,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d
p,f,f,y,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p
p,x,s,g,f,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d
p,x,f,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d
p,x,f,y,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g
p,x,s,g,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,u
p,f,y,g,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,f,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
p,f,f,y,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d
p,x,y,g,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d
p,x,y,g,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g
p,x,y,y,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p
p,f,f,g,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
p,f,f,y,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d
p,f,f,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p
p,x,f,y,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,s,b,t,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,v,g
p,f,f,g,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
p,x,f,y,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
p,f,f,g,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d
p,x,y,g,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,d
p,x,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,x,y,g,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d
p,f,f,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
p,x,y,g,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g
p,f,y,g,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
p,x,s,b,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,u
p,f,y,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
p,f,s,b,t,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,g
p,x,s,w,t,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,u
p,f,y,g,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
p,x,f,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g
p,f,f,g,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p
p,x,y,g,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g
p,f,f,g,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g
p,x,y,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,x,y,g,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p
p,f,f,g,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
p,f,f,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p
p,f,f,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d
p,x,y,y,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g
p,f,y,y,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d
p,f,f,g,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p
p,x,y,y,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g
p,x,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,f,y,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g
e,k,f,c,f,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l
p,f,f,g,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p
p,f,y,y,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
p,x,y,g,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d
p,x,y,g,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p
p,x,f,y,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d
p,f,f,y,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p
p,x,y,y,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d
p,b,y,p,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g
e,k,y,p,t,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
p,x,y,y,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p
p,x,f,y,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g
e,k,y,b,t,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w
p,x,s,w,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,u
p,x,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
p,x,y,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
p,f,g,w,t,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,c,l
p,x,s,g,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,v,u
p,x,y,g,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,g
p,f,y,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d
p,f,y,y,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
e,f,y,p,t,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
p,x,s,b,t,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,v,g
p,x,s,g,t,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,s,g
p,x,y,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
e,k,y,c,f,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l
p,x,s,w,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,u
p,x,s,w,t,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g
p,f,s,b,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,v,u
p,f,s,b,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,g
e,k,y,c,f,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l
p,x,y,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d
p,f,s,w,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g
p,f,s,g,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,u
p,c,g,w,t,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,c,l
p,x,s,g,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u
p,b,g,w,t,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,c,l
p,x,s,b,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,g
p,f,s,w,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
p,b,f,y,f,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d
p,x,y,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
e,k,s,n,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
e,k,y,b,t,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w
p,f,s,w,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,v,g
p,f,y,y,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p
p,x,y,g,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g
p,f,s,b,t,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,g
p,x,y,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
e,x,s,e,t,f,c,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w
p,x,y,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
p,x,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
p,x,y,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
e,f,f,n,f,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l
p,x,y,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p
e,x,s,b,t,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w
e,f,y,n,t,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,y,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,y,b,t,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,m
p,x,y,n,f,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d
p,x,y,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,x,s,b,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,g
p,x,s,b,t,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,g
p,f,y,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
p,f,s,g,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,v,g
p,x,y,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,x,s,b,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,v,g
p,f,f,n,f,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d
e,x,y,e,t,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w
p,f,s,b,t,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,g
p,f,s,w,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g
e,k,y,e,t,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w
p,x,f,y,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p
p,x,f,n,f,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
e,x,y,n,t,f,c,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w
p,x,y,g,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g
p,f,s,b,t,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,g
p,f,y,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
p,f,y,y,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d
e,x,s,p,t,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w
e,f,s,p,t,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w
p,b,y,w,t,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,g
e,f,s,n,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
p,f,y,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d
p,x,s,b,t,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,v,u
p,x,s,w,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g
e,f,y,c,f,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l
p,x,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
e,x,y,w,f,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d
p,x,y,y,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p
p,f,y,p,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g
p,f,s,g,t,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u
e,k,s,p,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
p,x,y,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
p,f,s,b,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
e,k,y,p,t,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w
p,x,f,y,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p
p,f,y,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g
p,f,f,g,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d
p,x,s,b,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,g
p,x,y,y,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d
p,f,f,y,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d
e,k,s,b,t,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w
p,f,y,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g
p,x,s,g,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
p,x,y,g,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p
p,x,y,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,x,s,g,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,u
p,f,y,p,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m
e,k,y,b,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
p,x,s,w,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,v,u
p,x,y,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
e,k,y,n,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
e,x,y,p,t,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w
e,x,s,p,t,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w
p,b,y,n,f,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
p,f,s,b,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g
p,x,y,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
p,x,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
p,x,s,b,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,u
p,x,y,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
e,k,f,c,f,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l
p,x,y,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g
e,x,s,n,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
p,f,f,g,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
p,f,y,y,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d
p,k,y,w,t,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,c,l
e,k,f,n,f,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l
p,k,f,y,f,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d
p,f,s,w,t,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,g
p,f,y,y,f,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d
p,f,y,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d
e,k,s,b,t,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,y,y,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
p,x,y,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,x,y,y,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
p,b,y,w,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g
p,x,s,w,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,g
p,x,s,b,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,v,g
e,k,y,b,t,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,y,y,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
p,b,y,b,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m
p,x,s,w,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,v,g
e,k,s,n,t,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,s,g,t,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,u
p,f,s,g,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,g
p,f,y,y,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d
e,f,s,e,t,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w
p,x,y,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,x,y,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
p,x,y,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,x,s,w,t,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u
e,k,s,n,t,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w
e,x,s,b,t,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,s,w,t,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,u
e,k,f,n,f,f,w,n,w,e,b,s,s,w,n,p,w,o,e,w,v,l
p,x,y,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,s,w,t,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,g
p,k,y,y,f,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d
p,f,s,w,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m
p,f,f,y,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
e,k,y,p,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
p,f,y,w,t,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,c,l
p,f,s,b,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,v,u
