label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,f,s,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
p,k,y,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
e,x,s,g,f,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g
p,k,y,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,k,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,x,y,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
p,k,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
e,b,f,g,f,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,s,g
p,x,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,k,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
e,b,s,n,f,a,c,b,o,e,?,s,s,o,o,p,n,o,p,y,v,l
p,f,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
p,k,y,c,f,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
p,f,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
p,x,y,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
p,k,y,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
p,x,y,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,k,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
e,b,f,g,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,s,g
p,f,y,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
e,k,f,g,f,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,s,g
e,b,s,n,f,a,c,b,y,e,?,s,s,o,o,p,n,o,p,o,c,l
p,x,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
e,x,f,w,f,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,n,g
p,f,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,x,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,k,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,k,y,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
e,x,s,g,f,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,n,g
p,k,y,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,k,y,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
e,b,s,n,f,a,c,b,n,e,?,s,s,o,o,p,o,o,p,o,c,l
p,x,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,k,y,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
e,k,f,g,f,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,n,g
p,x,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
